"","Date","Time","Type","sample_id","condition","temp","aggregate","leachate","1:F","alpha","ETRm","Ik","days_of_exposure","treatment"
"1","24-07-19",11:21:13,"REG2","H2C",1,"hot",2,"control","#1: alpha: 0.147, ETRm: 78.465, Ik: 534.030   (Jassby and Platt 1976)",0.147,78.465,534.03,1,"hot_control"
"2","24-07-19",11:30:35,"REG2","A5H",1,"ambient",5,"high","#1: alpha: 0.137, ETRm: 52.910, Ik: 386.538   (Jassby and Platt 1976)",0.137,52.91,386.538,1,"ambient_high"
"3","24-07-19",11:36:22,"REG2","A9L",1,"ambient",9,"low","#1: alpha: 0.089, ETRm: 52.533, Ik: 591.109   (Jassby and Platt 1976)",0.089,52.533,591.109,1,"ambient_low"
"4","24-07-19",11:40:39,"REG2","H10L",1,"hot",10,"low","#1: alpha: 0.142, ETRm: 106.522, Ik: 751.024   (Jassby and Platt 1976)",0.142,106.522,751.024,1,"hot_low"
"5","24-07-19",11:45:57,"REG2","H1H",2,"hot",1,"high","#1: alpha: 0.104, ETRm: 111.638, Ik: 1071.483   (Jassby and Platt 1976)",0.104,111.638,1071.483,1,"hot_high"
"6","24-07-19",11:54:12,"REG2","A9C",1,"ambient",9,"control","#1: alpha: 0.117, ETRm: 29.327, Ik: 250.419   (Jassby and Platt 1976)",0.117,29.327,250.419,1,"ambient_control"
"7","24-07-19",11:59:01,"REG2","A4C",1,"ambient",4,"control","#1: alpha: 0.107, ETRm: 59.425, Ik: 557.347   (Jassby and Platt 1976)",0.107,59.425,557.347,1,"ambient_control"
"8","24-07-19",12:03:12,"REG2","H8L",1,"hot",8,"low","#1: alpha: 0.116, ETRm: 59.304, Ik: 509.329   (Jassby and Platt 1976)",0.116,59.304,509.329,1,"hot_low"
"9","24-07-19",12:07:00,"REG2","H10H",1,"hot",10,"high","#1: alpha: 0.142, ETRm: 78.090, Ik: 551.153   (Jassby and Platt 1976)",0.142,78.09,551.153,1,"hot_high"
"10","24-07-19",12:11:43,"REG2","H3C",1,"hot",3,"control","#1: alpha: 0.171, ETRm: 77.848, Ik: 456.585   (Jassby and Platt 1976)",0.171,77.848,456.585,1,"hot_control"
