"","Date","Time","Type","sample_id","condition","temp","aggregate","leachate","1:F","alpha","ETRm","Ik","days_of_exposure","treatment"
"11","24-07-19",12:26:21,"REG2","A8C",1,"ambient",8,"control","#1: alpha: 0.111, ETRm: 36.079, Ik: 325.025   (Jassby and Platt 1976)",0.111,36.079,325.025,1,"ambient_control"
"12","24-07-19",12:31:01,"REG2","A1L",1,"ambient",1,"low","#1: alpha: 0.085, ETRm: 69.496, Ik: 819.556   (Jassby and Platt 1976)",0.085,69.496,819.556,1,"ambient_low"
"13","24-07-19",12:35:10,"REG2","A7H",1,"ambient",7,"high","#1: alpha: 0.095, ETRm: 72.459, Ik: 766.746   (Jassby and Platt 1976)",0.095,72.459,766.746,1,"ambient_high"
"14","24-07-19",12:40:14,"REG2","H2L",1,"hot",2,"low","#1: alpha: 0.144, ETRm: 75.586, Ik: 523.832   (Jassby and Platt 1976)",0.144,75.586,523.832,1,"hot_low"
"15","24-07-19",12:44:09,"REG2","H3H",1,"hot",3,"high","#1: alpha: 0.112, ETRm: 81.293, Ik: 727.301   (Jassby and Platt 1976)",0.112,81.293,727.301,1,"hot_high"
"16","24-07-19",12:48:04,"REG2","H7H",1,"hot",7,"high","#1: alpha: 0.169, ETRm: 55.201, Ik: 326.468   (Jassby and Platt 1976)",0.169,55.201,326.468,1,"hot_high"
"17","24-07-19",12:51:45,"REG2","A8L",1,"ambient",8,"low","#1: alpha: 0.119, ETRm: 49.295, Ik: 415.148   (Jassby and Platt 1976)",0.119,49.295,415.148,1,"ambient_low"
"18","24-07-19",12:56:14,"REG2","A2C",1,"ambient",2,"control","#1: alpha: 0.106, ETRm: 42.128, Ik: 396.004   (Jassby and Platt 1976)",0.106,42.128,396.004,1,"ambient_control"
"19","24-07-19",13:00:27,"REG2","A4H",1,"ambient",4,"high","#1: alpha: 0.116, ETRm: 34.515, Ik: 296.886   (Jassby and Platt 1976)",0.116,34.515,296.886,1,"ambient_high"
"20","24-07-19",13:05:08,"REG2","A4L",1,"ambient",4,"low","#1: alpha: 0.107, ETRm: 74.182, Ik: 690.537   (Jassby and Platt 1976)",0.107,74.182,690.537,1,"ambient_low"
"21","24-07-19",13:09:07,"REG2","H4L",1,"hot",4,"low","#1: alpha: 0.167, ETRm: 52.610, Ik: 315.800   (Jassby and Platt 1976)",0.167,52.61,315.8,1,"hot_low"
"22","24-07-19",13:13:37,"REG2","H7C",1,"hot",7,"control","#1: alpha: 0.154, ETRm: 70.658, Ik: 459.610   (Jassby and Platt 1976)",0.154,70.658,459.61,1,"hot_control"
"23","24-07-19",13:17:21,"REG2","H10C",1,"hot",10,"control","#1: alpha: 0.166, ETRm: 57.094, Ik: 344.900   (Jassby and Platt 1976)",0.166,57.094,344.9,1,"hot_control"
"24","24-07-19",13:21:24,"REG2","H5H",1,"hot",5,"high","#1: alpha: 0.150, ETRm: 42.278, Ik: 282.200   (Jassby and Platt 1976)",0.15,42.278,282.2,1,"hot_high"
"25","24-07-19",13:25:39,"REG2","A5L",1,"ambient",5,"low","#1: alpha: 0.157, ETRm: 80.879, Ik: 514.437   (Jassby and Platt 1976)",0.157,80.879,514.437,1,"ambient_low"
"26","24-07-19",13:29:46,"REG2","A10H",1,"ambient",10,"high","#1: alpha: 0.093, ETRm: 43.010, Ik: 460.607   (Jassby and Platt 1976)",0.093,43.01,460.607,1,"ambient_high"
"27","24-07-19",13:34:23,"REG2","A3L",1,"ambient",3,"low","#1: alpha: 0.108, ETRm: 51.688, Ik: 477.857   (Jassby and Platt 1976)",0.108,51.688,477.857,1,"ambient_low"
"28","24-07-19",13:38:15,"REG2","A7C",1,"ambient",7,"control","#1: alpha: 0.103, ETRm: 33.254, Ik: 321.387   (Jassby and Platt 1976)",0.103,33.254,321.387,1,"ambient_control"
"29","24-07-19",13:41:56,"REG2","H1L",2,"hot",1,"low","#1: alpha: 0.134, ETRm: 79.649, Ik: 592.601   (Jassby and Platt 1976)",0.134,79.649,592.601,1,"hot_low"
"30","24-07-19",13:45:44,"REG2","H6L",1,"hot",6,"low","#1: alpha: 0.169, ETRm: 95.761, Ik: 565.899   (Jassby and Platt 1976)",0.169,95.761,565.899,1,"hot_low"
"31","24-07-19",14:25:55,"REG2","H6H",1,"hot",6,"high","#1: alpha: 0.140, ETRm: 45.810, Ik: 326.195   (Jassby and Platt 1976)",0.14,45.81,326.195,1,"hot_high"
"32","24-07-19",14:29:55,"REG2","H1C",2,"hot",1,"control","#1: alpha: 0.126, ETRm: 66.379, Ik: 525.748   (Jassby and Platt 1976)",0.126,66.379,525.748,1,"hot_control"
"33","24-07-19",14:33:23,"REG2","H4C",1,"hot",4,"control","#1: alpha: 0.136, ETRm: 69.238, Ik: 508.655   (Jassby and Platt 1976)",0.136,69.238,508.655,1,"hot_control"
"34","24-07-19",14:37:02,"REG2","H9H",1,"hot",9,"high","#1: alpha: 0.129, ETRm: 58.609, Ik: 454.290   (Jassby and Platt 1976)",0.129,58.609,454.29,1,"hot_high"
"35","24-07-19",14:41:04,"REG2","A6C",1,"ambient",6,"control","#1: alpha: 0.137, ETRm: 44.052, Ik: 321.345   (Jassby and Platt 1976)",0.137,44.052,321.345,1,"ambient_control"
"36","24-07-19",14:44:42,"REG2","A6H",1,"ambient",6,"high","#1: alpha: 0.081, ETRm: 65.261, Ik: 809.756   (Jassby and Platt 1976)",0.081,65.261,809.756,1,"ambient_high"
"37","24-07-19",14:48:22,"REG2","A1H",1,"ambient",1,"high","#1: alpha: 0.102, ETRm: 47.857, Ik: 468.683   (Jassby and Platt 1976)",0.102,47.857,468.683,1,"ambient_high"
"38","24-07-19",14:52:17,"REG2","A3H",1,"ambient",3,"high","#1: alpha: 0.173, ETRm: 81.729, Ik: 473.138   (Jassby and Platt 1976)",0.173,81.729,473.138,1,"ambient_high"
"39","24-07-19",14:56:01,"REG2","A5C",1,"ambient",5,"control","#1: alpha: 0.103, ETRm: 62.394, Ik: 607.209   (Jassby and Platt 1976)",0.103,62.394,607.209,1,"ambient_control"
"40","24-07-19",15:00:01,"REG2","H5L",1,"hot",5,"low","#1: alpha: 0.146, ETRm: 41.127, Ik: 281.756   (Jassby and Platt 1976)",0.146,41.127,281.756,1,"hot_low"
"41","24-07-19",15:03:30,"REG2","H8C",1,"hot",8,"control","#1: alpha: 0.134, ETRm: 47.540, Ik: 354.076   (Jassby and Platt 1976)",0.134,47.54,354.076,1,"hot_control"
"42","24-07-19",15:08:13,"REG2","H6C",1,"hot",6,"control","#1: alpha: 0.133, ETRm: 57.866, Ik: 433.644   (Jassby and Platt 1976)",0.133,57.866,433.644,1,"hot_control"
"43","24-07-19",15:11:59,"REG2","A2L",1,"ambient",2,"low","#1: alpha: 0.102, ETRm: 57.960, Ik: 568.067   (Jassby and Platt 1976)",0.102,57.96,568.067,1,"ambient_low"
"44","24-07-19",15:20:13,"REG2","A9H",1,"ambient",9,"high","#1: alpha: 0.120, ETRm: 24.117, Ik: 201.744   (Jassby and Platt 1976)",0.12,24.117,201.744,1,"ambient_high"
"45","24-07-19",15:25:15,"REG2","A10C",1,"ambient",10,"control","#1: alpha: 0.112, ETRm: 37.327, Ik: 333.147   (Jassby and Platt 1976)",0.112,37.327,333.147,1,"ambient_control"
"46","24-07-19",15:29:40,"REG2","A7L",1,"ambient",7,"low","#1: alpha: 0.110, ETRm: 43.669, Ik: 397.069   (Jassby and Platt 1976)",0.11,43.669,397.069,1,"ambient_low"
"47","24-07-19",15:35:22,"REG2","H9L",1,"hot",9,"low","#1: alpha: 0.149, ETRm: 81.904, Ik: 551.158   (Jassby and Platt 1976)",0.149,81.904,551.158,1,"hot_low"
"48","24-07-19",15:39:34,"REG2","H9C",1,"hot",9,"control","#1: alpha: 0.148, ETRm: 63.201, Ik: 425.856   (Jassby and Platt 1976)",0.148,63.201,425.856,1,"hot_control"
"49","24-07-19",15:43:19,"REG2","H2H",1,"hot",2,"high","#1: alpha: 0.157, ETRm: 73.012, Ik: 464.199   (Jassby and Platt 1976)",0.157,73.012,464.199,1,"hot_high"
"50","24-07-19",15:46:59,"REG2","H8H",1,"hot",8,"high","#1: alpha: 0.149, ETRm: 45.444, Ik: 304.693   (Jassby and Platt 1976)",0.149,45.444,304.693,1,"hot_high"
"51","24-07-19",15:51:33,"REG2","A10L",1,"ambient",10,"low","#1: alpha: 0.115, ETRm: 52.813, Ik: 457.608   (Jassby and Platt 1976)",0.115,52.813,457.608,1,"ambient_low"
"52","24-07-19",15:56:55,"REG2","A1C",1,"ambient",1,"control","#1: alpha: 0.095, ETRm: 53.491, Ik: 563.288   (Jassby and Platt 1976)",0.095,53.491,563.288,1,"ambient_control"
"53","24-07-19",16:00:23,"REG2","A6L",1,"ambient",6,"low","#1: alpha: 0.158, ETRm: 36.273, Ik: 229.454   (Jassby and Platt 1976)",0.158,36.273,229.454,1,"ambient_low"
"54","24-07-19",16:04:13,"REG2","A8H",1,"ambient",8,"high","#1: alpha: 0.121, ETRm: 55.201, Ik: 455.538   (Jassby and Platt 1976)",0.121,55.201,455.538,1,"ambient_high"
"55","24-07-19",16:08:21,"REG2","A3C",1,"ambient",3,"control","#1: alpha: 0.144, ETRm: 84.216, Ik: 585.253   (Jassby and Platt 1976)",0.144,84.216,585.253,1,"ambient_control"
"56","24-07-19",16:12:26,"REG2","A2H",1,"ambient",2,"high","#1: alpha: 0.115, ETRm: 87.546, Ik: 758.195   (Jassby and Platt 1976)",0.115,87.546,758.195,1,"ambient_high"
"57","24-07-19",16:16:28,"REG2","H7L",2,"hot",7,"low","#1: alpha: 0.168, ETRm: 120.461, Ik: 717.291   (Jassby and Platt 1976)",0.168,120.461,717.291,1,"hot_low"
"58","24-07-19",16:20:10,"REG2","H4H",1,"hot",4,"high","#1: alpha: 0.157, ETRm: 61.293, Ik: 389.813   (Jassby and Platt 1976)",0.157,61.293,389.813,1,"hot_high"
"59","24-07-19",16:25:18,"REG2","H5C",1,"hot",5,"control","#1: alpha: 0.139, ETRm: 59.481, Ik: 428.120   (Jassby and Platt 1976)",0.139,59.481,428.12,1,"hot_control"
"60","24-07-19",16:29:32,"REG2","H3L",1,"hot",3,"low","#1: alpha: 0.161, ETRm: 97.986, Ik: 607.067   (Jassby and Platt 1976)",0.161,97.986,607.067,1,"hot_low"
"61","24-07-20",10:24:10,"REG2","H3L",1,"hot",3,"low","#1: alpha: 0.123, ETRm: 71.467, Ik: 578.685   (Jassby and Platt 1976)",0.123,71.467,578.685,2,"hot_low"
"62","24-07-20",10:27:55,"REG2","A1C",1,"ambient",1,"control","#1: alpha: 0.089, ETRm: 56.553, Ik: 637.793   (Jassby and Platt 1976)",0.089,56.553,637.793,2,"ambient_control"
"63","24-07-20",10:36:14,"REG2","H8C",2,"hot",8,"control","#1: alpha: 0.142, ETRm: 58.412, Ik: 411.320   (Jassby and Platt 1976)",0.142,58.412,411.32,2,"hot_control"
"64","24-07-20",10:40:23,"REG2","A6H",1,"ambient",6,"high","#1: alpha: 0.091, ETRm: 51.614, Ik: 568.158   (Jassby and Platt 1976)",0.091,51.614,568.158,2,"ambient_high"
"65","24-07-20",10:44:39,"REG2","A9L",1,"ambient",9,"low","#1: alpha: 0.171, ETRm: 46.255, Ik: 270.844   (Jassby and Platt 1976)",0.171,46.255,270.844,2,"ambient_low"
"66","24-07-20",10:48:07,"REG2","A7C",1,"ambient",7,"control","#1: alpha: 0.057, ETRm: 52.151, Ik: 921.123   (Jassby and Platt 1976)",0.057,52.151,921.123,2,"ambient_control"
"67","24-07-20",10:52:56,"REG2","H3C",1,"hot",3,"control","#1: alpha: 0.159, ETRm: 100.557, Ik: 630.804   (Jassby and Platt 1976)",0.159,100.557,630.804,2,"hot_control"
"68","24-07-20",10:56:28,"REG2","H5L",1,"hot",5,"low","#1: alpha: 0.130, ETRm: 63.499, Ik: 488.660   (Jassby and Platt 1976)",0.13,63.499,488.66,2,"hot_low"
"69","24-07-20",11:00:30,"REG2","H9H",1,"hot",9,"high","#1: alpha: 0.134, ETRm: 71.030, Ik: 529.706   (Jassby and Platt 1976)",0.134,71.03,529.706,2,"hot_high"
"70","24-07-20",11:04:55,"REG2","H6L",1,"hot",6,"low","#1: alpha: 0.133, ETRm: 119.986, Ik: 899.173   (Jassby and Platt 1976)",0.133,119.986,899.173,2,"hot_low"
"71","24-07-20",11:09:16,"REG2","A9H",1,"ambient",9,"high","#1: alpha: 0.119, ETRm: 31.237, Ik: 263.277   (Jassby and Platt 1976)",0.119,31.237,263.277,2,"ambient_high"
"72","24-07-20",11:13:51,"REG2","A7L",2,"ambient",7,"low","#1: alpha: 0.095, ETRm: 44.529, Ik: 468.782   (Jassby and Platt 1976)",0.095,44.529,468.782,2,"ambient_low"
"73","24-07-20",11:17:52,"REG2","A10C",1,"ambient",10,"control","#1: alpha: 0.116, ETRm: 52.339, Ik: 450.911   (Jassby and Platt 1976)",0.116,52.339,450.911,2,"ambient_control"
"74","24-07-20",11:21:34,"REG2","A8L",1,"ambient",8,"low","#1: alpha: 0.104, ETRm: 48.447, Ik: 467.302   (Jassby and Platt 1976)",0.104,48.447,467.302,2,"ambient_low"
"75","24-07-20",11:25:09,"REG2","A4H",1,"ambient",4,"high","#1: alpha: 0.130, ETRm: 32.187, Ik: 247.133   (Jassby and Platt 1976)",0.13,32.187,247.133,2,"ambient_high"
"76","24-07-20",11:28:39,"REG2","A3L",1,"ambient",3,"low","#1: alpha: 0.128, ETRm: 36.038, Ik: 280.742   (Jassby and Platt 1976)",0.128,36.038,280.742,2,"ambient_low"
"77","24-07-20",11:32:28,"REG2","A5H",1,"ambient",5,"high","#1: alpha: 0.110, ETRm: 54.002, Ik: 493.022   (Jassby and Platt 1976)",0.11,54.002,493.022,2,"ambient_high"
"78","24-07-20",11:37:06,"REG2","A4C",1,"ambient",4,"control","#1: alpha: 0.105, ETRm: 81.197, Ik: 770.538   (Jassby and Platt 1976)",0.105,81.197,770.538,2,"ambient_control"
"79","24-07-20",11:41:06,"REG2","H6C",1,"hot",6,"control","#1: alpha: 0.160, ETRm: 66.667, Ik: 416.787   (Jassby and Platt 1976)",0.16,66.667,416.787,2,"hot_control"
"80","24-07-20",11:44:55,"REG2","H4C",1,"hot",4,"control","#1: alpha: 0.125, ETRm: 62.772, Ik: 500.267   (Jassby and Platt 1976)",0.125,62.772,500.267,2,"hot_control"
"81","24-07-20",11:49:13,"REG2","H6H",1,"hot",6,"high","#1: alpha: 0.148, ETRm: 70.544, Ik: 476.557   (Jassby and Platt 1976)",0.148,70.544,476.557,2,"hot_high"
"82","24-07-20",11:53:32,"REG2","H4H",1,"hot",4,"high","#1: alpha: 0.134, ETRm: 61.035, Ik: 454.928   (Jassby and Platt 1976)",0.134,61.035,454.928,2,"hot_high"
"83","24-07-20",11:58:01,"REG2","H4L",1,"hot",4,"low","#1: alpha: 0.124, ETRm: 88.386, Ik: 714.800   (Jassby and Platt 1976)",0.124,88.386,714.8,2,"hot_low"
"84","24-07-20",12:01:43,"REG2","H3H",1,"hot",3,"high","#1: alpha: 0.129, ETRm: 59.475, Ik: 459.663   (Jassby and Platt 1976)",0.129,59.475,459.663,2,"hot_high"
"85","24-07-20",12:05:41,"REG2","A1H",1,"ambient",1,"high","#1: alpha: 0.079, ETRm: 59.267, Ik: 754.736   (Jassby and Platt 1976)",0.079,59.267,754.736,2,"ambient_high"
"86","24-07-20",12:09:46,"REG2","A1L",2,"ambient",1,"low","#1: alpha: 0.094, ETRm: 79.245, Ik: 843.203   (Jassby and Platt 1976)",0.094,79.245,843.203,2,"ambient_low"
"87","24-07-20",12:14:16,"REG2","A7H",1,"ambient",7,"high","#1: alpha: 0.107, ETRm: 33.328, Ik: 310.067   (Jassby and Platt 1976)",0.107,33.328,310.067,2,"ambient_high"
"88","24-07-20",12:18:11,"REG2","A8C",1,"ambient",8,"control","#1: alpha: 0.092, ETRm: 59.090, Ik: 641.102   (Jassby and Platt 1976)",0.092,59.09,641.102,2,"ambient_control"
"89","24-07-20",12:22:18,"REG2","A4L",1,"ambient",4,"low","#1: alpha: 0.086, ETRm: 65.960, Ik: 767.682   (Jassby and Platt 1976)",0.086,65.96,767.682,2,"ambient_low"
"90","24-07-20",12:26:54,"REG2","A10H",1,"ambient",10,"high","#1: alpha: 0.139, ETRm: 62.308, Ik: 447.570   (Jassby and Platt 1976)",0.139,62.308,447.57,2,"ambient_high"
"91","24-07-20",13:16:58,"REG2","H8H",2,"hot",8,"high","#1: alpha: 0.139, ETRm: 67.862, Ik: 487.410   (Jassby and Platt 1976)",0.139,67.862,487.41,2,"hot_high"
"92","24-07-20",13:20:54,"REG2","H5H",1,"hot",5,"high","#1: alpha: 0.133, ETRm: 45.507, Ik: 341.469   (Jassby and Platt 1976)",0.133,45.507,341.469,2,"hot_high"
"93","24-07-20",13:25:04,"REG2","H2C",1,"hot",2,"control","#1: alpha: 0.136, ETRm: 74.241, Ik: 546.399   (Jassby and Platt 1976)",0.136,74.241,546.399,2,"hot_control"
"94","24-07-20",13:29:59,"REG2","H1C",3,"hot",1,"control","#1: alpha: 0.133, ETRm: 110.719, Ik: 835.265   (Jassby and Platt 1976)",0.133,110.719,835.265,2,"hot_control"
"95","24-07-20",13:34:03,"REG2","H8L",1,"hot",8,"low","#1: alpha: 0.147, ETRm: 51.318, Ik: 348.794   (Jassby and Platt 1976)",0.147,51.318,348.794,2,"hot_low"
"96","24-07-20",13:37:49,"REG2","H7H",1,"hot",7,"high","#1: alpha: 0.144, ETRm: 70.876, Ik: 490.609   (Jassby and Platt 1976)",0.144,70.876,490.609,2,"hot_high"
"97","24-07-20",13:42:32,"REG2","A3C",1,"ambient",3,"control","#1: alpha: 0.147, ETRm: 42.162, Ik: 286.066   (Jassby and Platt 1976)",0.147,42.162,286.066,2,"ambient_control"
"98","24-07-20",13:50:46,"REG2","A6L",1,"ambient",6,"low","#1: alpha: 0.123, ETRm: 52.719, Ik: 427.881   (Jassby and Platt 1976)",0.123,52.719,427.881,2,"ambient_low"
"99","24-07-20",14:01:05,"REG2","A5C",1,"ambient",5,"control","#1: alpha: 0.066, ETRm: 45.372, Ik: 691.615   (Jassby and Platt 1976)",0.066,45.372,691.615,2,"ambient_control"
"100","24-07-20",14:05:19,"REG2","A9C",1,"ambient",9,"control","#1: alpha: 0.141, ETRm: 27.224, Ik: 193.665   (Jassby and Platt 1976)",0.141,27.224,193.665,2,"ambient_control"
"101","24-07-20",14:09:47,"REG2","A2L",1,"ambient",2,"low","#1: alpha: 0.086, ETRm: 63.985, Ik: 747.920   (Jassby and Platt 1976)",0.086,63.985,747.92,2,"ambient_low"
"102","24-07-20",14:14:31,"REG2","H10L",1,"hot",10,"low","#1: alpha: 0.163, ETRm: 78.901, Ik: 485.126   (Jassby and Platt 1976)",0.163,78.901,485.126,2,"hot_low"
"103","24-07-20",14:19:05,"REG2","H9C",1,"hot",9,"control","#1: alpha: 0.157, ETRm: 70.965, Ik: 452.956   (Jassby and Platt 1976)",0.157,70.965,452.956,2,"hot_control"
"104","24-07-20",14:23:09,"REG2","H2H",1,"hot",2,"high","#1: alpha: 0.146, ETRm: 81.131, Ik: 553.899   (Jassby and Platt 1976)",0.146,81.131,553.899,2,"hot_high"
"105","24-07-20",14:27:11,"REG2","H1L",1,"hot",1,"low","#1: alpha: 0.150, ETRm: 60.708, Ik: 403.749   (Jassby and Platt 1976)",0.15,60.708,403.749,2,"hot_low"
"106","24-07-20",14:31:29,"REG2","H7C",1,"hot",7,"control","#1: alpha: 0.173, ETRm: 89.384, Ik: 516.367   (Jassby and Platt 1976)",0.173,89.384,516.367,2,"hot_control"
"107","24-07-20",14:35:50,"REG2","H7L",2,"hot",7,"low","#1: alpha: 0.160, ETRm: 119.992, Ik: 748.562   (Jassby and Platt 1976)",0.16,119.992,748.562,2,"hot_low"
"108","24-07-20",14:39:58,"REG2","A2C",1,"ambient",2,"control","#1: alpha: 0.127, ETRm: 37.375, Ik: 295.229   (Jassby and Platt 1976)",0.127,37.375,295.229,2,"ambient_control"
"109","24-07-20",14:48:41,"REG2","A2H",1,"ambient",2,"high","#1: alpha: 0.126, ETRm: 77.582, Ik: 613.821   (Jassby and Platt 1976)",0.126,77.582,613.821,2,"ambient_high"
"110","24-07-20",14:52:56,"REG2","A6C",1,"ambient",6,"control","#1: alpha: 0.114, ETRm: 37.421, Ik: 329.206   (Jassby and Platt 1976)",0.114,37.421,329.206,2,"ambient_control"
"111","24-07-20",14:57:38,"REG2","A5L",1,"ambient",5,"low","#1: alpha: 0.080, ETRm: 66.754, Ik: 831.798   (Jassby and Platt 1976)",0.08,66.754,831.798,2,"ambient_low"
"112","24-07-20",15:06:17,"REG2","H1H",1,"hot",1,"high","#1: alpha: 0.157, ETRm: 85.165, Ik: 543.825   (Jassby and Platt 1976)",0.157,85.165,543.825,2,"hot_high"
"113","24-07-20",15:10:27,"REG2","H9L",1,"hot",9,"low","#1: alpha: 0.169, ETRm: 74.651, Ik: 441.466   (Jassby and Platt 1976)",0.169,74.651,441.466,2,"hot_low"
"114","24-07-20",15:15:20,"REG2","H5C",1,"hot",5,"control","#1: alpha: 0.141, ETRm: 80.948, Ik: 574.159   (Jassby and Platt 1976)",0.141,80.948,574.159,2,"hot_control"
"115","24-07-20",15:19:26,"REG2","H2L",1,"hot",2,"low","#1: alpha: 0.140, ETRm: 53.900, Ik: 386.336   (Jassby and Platt 1976)",0.14,53.9,386.336,2,"hot_low"
"116","24-07-20",15:23:26,"REG2","H10C",1,"hot",10,"control","#1: alpha: 0.144, ETRm: 75.644, Ik: 525.108   (Jassby and Platt 1976)",0.144,75.644,525.108,2,"hot_control"
"117","24-07-20",15:28:21,"REG2","H10H",1,"hot",10,"high","#1: alpha: 0.138, ETRm: 77.637, Ik: 562.161   (Jassby and Platt 1976)",0.138,77.637,562.161,2,"hot_high"
"118","24-07-21",11:37:20,"REG2","H7L",2,"hot",7,"low","#1: alpha: 0.153, ETRm: 116.573, Ik: 760.119   (Jassby and Platt 1976)",0.153,116.573,760.119,3,"hot_low"
"119","24-07-21",11:41:21,"REG2","H1L",1,"hot",1,"low","#1: alpha: 0.150, ETRm: 64.931, Ik: 434.034   (Jassby and Platt 1976)",0.15,64.931,434.034,3,"hot_low"
"120","24-07-21",11:45:14,"REG2","H9C",1,"hot",9,"control","#1: alpha: 0.153, ETRm: 76.843, Ik: 501.947   (Jassby and Platt 1976)",0.153,76.843,501.947,3,"hot_control"
"121","24-07-21",11:50:30,"REG2","H10C",1,"hot",10,"control","#1: alpha: 0.166, ETRm: 128.049, Ik: 770.271   (Jassby and Platt 1976)",0.166,128.049,770.271,3,"hot_control"
"122","24-07-21",11:54:54,"REG2","H9H",1,"hot",9,"high","#1: alpha: 0.129, ETRm: 74.197, Ik: 577.008   (Jassby and Platt 1976)",0.129,74.197,577.008,3,"hot_high"
"123","24-07-21",11:59:05,"REG2","H4H",1,"hot",4,"high","#1: alpha: 0.143, ETRm: 71.267, Ik: 498.370   (Jassby and Platt 1976)",0.143,71.267,498.37,3,"hot_high"
"124","24-07-21",12:03:36,"REG2","A4L",1,"ambient",4,"low","#1: alpha: 0.142, ETRm: 62.419, Ik: 438.850   (Jassby and Platt 1976)",0.142,62.419,438.85,3,"ambient_low"
"125","24-07-21",12:08:01,"REG2","A10L",1,"ambient",10,"low","#1: alpha: 0.119, ETRm: 62.161, Ik: 520.362   (Jassby and Platt 1976)",0.119,62.161,520.362,3,"ambient_low"
"126","24-07-21",12:13:39,"REG2","A1C",1,"ambient",1,"control","#1: alpha: 0.129, ETRm: 69.191, Ik: 537.960   (Jassby and Platt 1976)",0.129,69.191,537.96,3,"ambient_control"
"127","24-07-21",12:19:26,"REG2","A9C",1,"ambient",9,"control","#1: alpha: 0.127, ETRm: 33.318, Ik: 262.935   (Jassby and Platt 1976)",0.127,33.318,262.935,3,"ambient_control"
"128","24-07-21",12:26:09,"REG2","A4H",1,"ambient",4,"high","#1: alpha: 0.121, ETRm: 65.498, Ik: 539.186   (Jassby and Platt 1976)",0.121,65.498,539.186,3,"ambient_high"
"129","24-07-21",12:29:53,"REG2","A2H",1,"ambient",2,"high","#1: alpha: 0.105, ETRm: 89.239, Ik: 853.741   (Jassby and Platt 1976)",0.105,89.239,853.741,3,"ambient_high"
"130","24-07-21",12:34:58,"REG2","H6H",1,"hot",6,"high","#1: alpha: 0.159, ETRm: 65.603, Ik: 413.680   (Jassby and Platt 1976)",0.159,65.603,413.68,3,"hot_high"
"131","24-07-21",12:39:05,"REG2","H3H",1,"hot",3,"high","#1: alpha: 0.151, ETRm: 92.730, Ik: 615.456   (Jassby and Platt 1976)",0.151,92.73,615.456,3,"hot_high"
"132","24-07-21",12:43:11,"REG2","H2L",1,"hot",2,"low","#1: alpha: 0.167, ETRm: 80.139, Ik: 479.645   (Jassby and Platt 1976)",0.167,80.139,479.645,3,"hot_low"
"133","24-07-21",12:47:09,"REG2","H4L",1,"hot",4,"low","#1: alpha: 0.149, ETRm: 77.659, Ik: 521.619   (Jassby and Platt 1976)",0.149,77.659,521.619,3,"hot_low"
"134","24-07-21",12:51:29,"REG2","H6C",1,"hot",6,"control","#1: alpha: 0.133, ETRm: 76.882, Ik: 576.277   (Jassby and Platt 1976)",0.133,76.882,576.277,3,"hot_control"
"135","24-07-21",12:56:02,"REG2","H5C",1,"hot",5,"control","#1: alpha: 0.163, ETRm: 73.882, Ik: 454.515   (Jassby and Platt 1976)",0.163,73.882,454.515,3,"hot_control"
"136","24-07-21",13:00:58,"REG2","A5C",1,"ambient",5,"control","#1: alpha: 0.068, ETRm: 44.794, Ik: 655.892   (Jassby and Platt 1976)",0.068,44.794,655.892,3,"ambient_control"
